2024-12-02 05:02:12.176 -05:00 [INF] Starting!
2024-12-02 05:02:12.287 -05:00 [INF] Final total time elapsed hh:mm:ss.fff: 00:00:00.117
2024-12-02 05:02:12.289 -05:00 [INF] Answer: 0
2024-12-02 05:10:17.720 -05:00 [INF] Starting!
2024-12-02 05:10:17.815 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.049 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.050 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.050 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.051 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.052 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.052 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.053 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.054 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.054 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.055 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.055 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.056 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.057 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.057 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.058 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.058 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.059 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.060 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.060 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.061 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.062 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.062 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.063 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.064 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.065 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.065 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.066 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.067 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.067 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.068 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.068 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.069 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.070 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.070 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.071 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.072 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.072 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.073 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.074 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.074 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.075 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.075 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.076 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.077 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.077 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.078 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.079 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.079 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.080 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.080 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.081 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.081 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:20.082 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.083 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.083 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.084 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.084 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.085 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.085 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.086 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.086 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.087 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.087 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.088 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.088 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.089 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.089 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.090 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.090 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.091 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.091 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.092 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.093 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.093 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.094 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.094 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.095 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.095 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.096 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.096 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.097 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.097 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.098 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.098 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.099 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.099 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.100 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.100 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.100 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.101 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.101 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.102 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.102 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.103 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.103 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.104 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:20.104 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.105 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.105 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.106 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.106 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.107 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.107 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:20.108 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.108 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.108 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.109 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.109 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.110 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.110 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.111 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.112 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.113 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.113 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.114 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.114 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.115 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.116 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.116 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.117 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.117 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.118 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.118 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.119 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.119 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.120 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.120 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.121 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.121 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.121 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.122 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.122 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.123 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.123 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.124 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.124 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.125 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.125 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.126 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.126 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.126 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.127 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.127 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.128 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.128 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.129 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.129 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.130 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.130 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:20.130 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.131 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.131 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.132 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.132 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.133 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.133 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:20.134 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.134 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.134 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.135 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.135 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.136 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.136 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.137 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.137 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.138 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.138 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.138 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.139 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:20.139 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.140 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.140 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.141 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.141 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.142 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.142 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.142 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.143 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.143 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.144 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.144 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.145 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.145 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.146 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.146 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.147 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.148 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.148 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.149 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.149 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.150 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.150 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.151 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.151 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.152 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.152 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.153 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.154 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.154 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:20.155 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.155 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.156 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.157 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.157 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.158 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.158 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:20.159 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.159 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.160 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.160 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.160 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.161 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.161 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.162 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.162 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.163 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.163 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.164 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.164 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.165 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.165 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.165 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.166 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:20.166 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.167 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.167 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.168 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.168 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.169 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.169 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.170 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.170 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.171 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.171 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.172 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.173 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.173 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.173 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.174 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.174 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.175 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.175 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.176 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.176 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.177 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.177 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.178 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.178 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.179 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.179 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.180 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.181 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.181 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.181 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.182 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.182 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.183 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.183 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.184 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.184 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.185 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.185 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.186 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:20.186 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.187 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.187 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.188 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.188 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.189 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.189 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.190 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.190 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.191 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.191 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.192 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:20.192 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.193 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.193 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.194 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.194 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.195 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.195 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:20.196 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.196 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.197 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.197 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.198 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.198 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.199 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.199 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.199 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.200 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.200 -05:00 [INF] Checked: 5, 6 | Currently Line is: 
2024-12-02 05:10:20.201 -05:00 [INF] Checked: 6, 7 | Currently Line is: 
2024-12-02 05:10:20.201 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.202 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.202 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.203 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.203 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.203 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.204 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.204 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.205 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.205 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
2024-12-02 05:10:20.206 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.206 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.207 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.207 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.208 -05:00 [INF] Checked: 0, 1 | Currently Line is: 
2024-12-02 05:10:20.208 -05:00 [INF] Checked: 1, 2 | Currently Line is: 
2024-12-02 05:10:20.208 -05:00 [INF] Checked: 2, 3 | Currently Line is: 
2024-12-02 05:10:20.209 -05:00 [INF] Checked: 3, 4 | Currently Line is: 
2024-12-02 05:10:20.209 -05:00 [INF] Checked: 4, 5 | Currently Line is: 
